IoU_Threshold,Class,mAP,AP,Precision,Recall,F1_Score,TP,FP,FN
0.5,Overall,0.7629213794253286,0.7629213794253286,0.624756461878166,0.3211805555555556,0.42425578831312016,4810,2889,10166
0.5,aeroplane,,0.8252919290759564,0.6705882352941176,0.3665594855305466,0.474012474012474,114,56,197
0.5,bicycle,,0.9109969556732116,0.586046511627907,0.32390745501285345,0.4172185430463576,126,89,263
0.5,bird,,0.6835601679404639,0.5833333333333334,0.2795138888888889,0.3779342723004695,161,115,415
0.5,boat,,0.4587481216930345,0.3959731543624161,0.15012722646310434,0.2177121771217712,59,90,334
0.5,bottle,,0.5536223791622595,0.35877862595419846,0.0715372907153729,0.11928934010152284,47,84,610
0.5,bus,,0.9250764427919423,0.7889908256880734,0.33858267716535434,0.4738292011019284,86,23,168
0.5,car,,0.8149482252944782,0.7056451612903226,0.45425048669695,0.5527043031977892,700,292,841
0.5,cat,,0.8697391716975387,0.7370517928286853,0.5,0.5958132045088567,185,66,185
0.5,chair,,0.645880196142014,0.4821852731591449,0.1477438136826783,0.22618384401114203,203,218,1171
0.5,cow,,0.7209466964952497,0.5265151515151515,0.42249240121580545,0.46880269814502523,139,125,190
0.5,diningtable,,0.8945248207066638,0.7631578947368421,0.09698996655518395,0.17210682492581603,29,9,270
0.5,dog,,0.8724408962498376,0.7745901639344263,0.35660377358490564,0.48837209302325585,189,55,341
0.5,horse,,0.9150649328578943,0.8146551724137931,0.47848101265822784,0.6028708133971292,189,43,206
0.5,motorbike,,0.8863261588998588,0.7098765432098766,0.3116531165311653,0.4331450094161958,115,47,254
0.5,person,,0.6868124294902366,0.6144278606965174,0.378037114979912,0.46808006632713495,1976,1240,3251
0.5,pottedplant,,0.5812015054812778,0.4594594594594595,0.08614864864864864,0.14509246088193456,51,60,541
0.5,sheep,,0.6256373670630708,0.4444444444444444,0.2958199356913183,0.35521235521235517,92,115,219
0.5,sofa,,0.7173266183248419,0.5906040268456376,0.2222222222222222,0.3229357798165137,88,61,308
0.5,train,,0.8343405597395566,0.7010309278350515,0.4503311258278146,0.5483870967741935,136,58,166
0.5,tvmonitor,,0.8359420137271839,0.7440476190476191,0.3462603878116344,0.4725897920604915,125,43,236
0.75,Overall,0.35299756495650497,0.35299756495650497,0.24055072087284063,0.12366452991452992,0.16335170893054024,1852,5847,13124
0.75,aeroplane,,0.3456056995127484,0.24705882352941178,0.13504823151125403,0.17463617463617467,42,128,269
0.75,bicycle,,0.4505651353099194,0.2558139534883721,0.14138817480719795,0.18211920529801326,55,160,334
0.75,bird,,0.3079746978383903,0.18115942028985507,0.08680555555555555,0.11737089201877934,50,226,526
0.75,boat,,0.1280308283326313,0.087248322147651,0.03307888040712468,0.047970479704797044,13,136,380
0.75,bottle,,0.07031782093158664,0.03816793893129771,0.0076103500761035,0.012690355329949238,5,126,652
0.75,bus,,0.6544533801647963,0.3853211009174312,0.16535433070866143,0.23140495867768593,42,67,212
0.75,car,,0.5382334141927234,0.3840725806451613,0.2472420506164828,0.3008290564547967,381,611,1160
0.75,cat,,0.5438315483121389,0.3745019920318725,0.25405405405405407,0.3027375201288245,94,157,276
0.75,chair,,0.21877843442684305,0.11163895486935867,0.03420669577874818,0.05236768802228412,47,374,1327
0.75,cow,,0.24879142233594634,0.1590909090909091,0.1276595744680851,0.14165261382799324,42,222,287
0.75,diningtable,,0.23173562858917549,0.2631578947368421,0.033444816053511704,0.05934718100890208,10,28,289
